Nombre,Categoría,Declaración de seguridad,Clasificación 1,Clasificación 2,Clasificación 3,NombreNormalizado
salcatonina (salmón con calcitonina),B2,,Sistema endocrino,Agentes que afectan el metabolismo del calcio y los huesos,,salcatonina (salmon con calcitonina)
salmeterol,B3,,Sistema respiratorio,Agentes inhalatorios,Relajantes del broncoespasmo,salmeterol
salmeterol,B3,Los beneficios del control del asma superan cualquier potencial resultado adverso durante el embarazo.,Sistema respiratorio,Agentes inhalatorios,Aerosoles e inhalaciones preventivas,salmeterol
samario [153Sm],D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,,,samario [153Sm]
saponinas,A,,Sistema respiratorio,Expectorantes y mucolíticos,,saponinas
sapropterina,B1,,Metabolismo,Agentes utilizados para el tratamiento de trastornos metabólicos,,sapropterina
saquinavir,B1,,Antimicrobianos,agentes antivirales,,saquinavir
satralizumab,do,Se sabe que los anticuerpos IgG atraviesan la barrera placentaria. Este fármaco tiene el potencial de afectar la supervivencia embriofetal debido a su acción farmacológica.,Sistema nervioso central,,,satralizumab
saxagliptina,B3,,Sistema endocrino,agentes hipoglucemiantes,,saxagliptina
saxagliptina/metformina,do,Es importante lograr una normoglucemia estricta durante el embarazo.,Sistema endocrino,agentes hipoglucemiantes,,saxagliptina/metformina
sebelipasa alfa,B1,,Metabolismo,Agentes utilizados para el tratamiento de trastornos metabólicos,,sebelipasa alfa
secukinumab (rch),do,Se sabe que los anticuerpos IgG atraviesan la barrera placentaria. Este fármaco tiene el potencial de afectar la supervivencia embriofetal debido a su acción farmacológica.,Alergia y sistema inmunológico,Inmunomodificadores,,secukinumab (rch)
selegilina,B2,,Sistema nervioso central,Agentes antiparkinsonianos,,selegilina
selexipag,B1,,Sistema cardiovascular,Antihipertensivos,,selexipag
selinexor,D," Selinexor puede causar daño fetal si se administra a una mujer embarazada. En ratas preñadas, la administración de selinexor durante la organogénesis resultó en una reducción del peso fetal, alteración de la osificación y un aumento de las variaciones y malformaciones esqueléticas fetales. Selinexor fue embrioletal en ratas.",Agentes antineoplásicos,,,selinexor
selpercatinib,D,"Según datos de estudios de reproducción en animales y su mecanismo de acción, selpercatinib puede causar daño fetal (incluida pérdida postimplantación y un aumento de malformaciones externas) cuando se administra a una mujer embarazada.",Agentes antineoplásicos,Inhibidores de la tirosina quinasa,,selpercatinib
selumetinib,D,"Según datos en animales (en ratones preñados, el selumetinib administrado durante la organogénesis provocó una reducción del número de fetos vivos debido a un aumento de la pérdida posimplantación, una reducción del peso fetal y malformaciones). El selumetinib puede causar daño fetal si se administra a una mujer embarazada.",Agentes antineoplásicos,,,selumetinib
semaglutida,D,Este medicamento es embriotóxico y fetotóxico cuando se administra a ratas y conejas preñadas.,Sistema endocrino,agentes hipoglucemiantes,,semaglutida
sen,A,,Sistema alimentario,Laxantes,,sen
sertindol,do,"Los neonatos expuestos a antipsicóticos durante el tercer trimestre del embarazo corren el riesgo de experimentar trastornos neurológicos extrapiramidales o síntomas de abstinencia tras el parto. Se han notificado casos de agitación, hipertonía, hipotonía, temblor, somnolencia, dificultad respiratoria y trastornos de la alimentación en estos neonatos.",Sistema nervioso central,fármacos antipsicóticos,,sertindol
sertralina,do,"Los inhibidores selectivos de la recaptación de serotonina (ISRS) se han utilizado de forma limitada durante el embarazo, sin que se haya reportado un aumento de defectos congénitos. El uso de ISRS en el tercer trimestre puede provocar un síndrome de abstinencia en el recién nacido.",Sistema nervioso central,antidepresivos,Inhibidores selectivos de la recaptación de serotonina (ISRS),sertralina
sevelámero,B3,," Agentes desintoxicantes, antídotos",,,sevelamero
sevoflurano,B2,"Todos los anestésicos generales pueden producir depresión del sistema nervioso central y respiratoria en el recién nacido. En la práctica habitual, esto no parece ser un problema. Sin embargo, en el feto con problemas de salud, se debe considerar cuidadosamente esta posible depresión y la selección de fármacos, dosis y técnicas anestésicas específicas.",Medicamentos utilizados en anestesia,Anestésicos generales,,sevoflurano
sibutramina,do,No se recomienda la reducción de peso con medicamentos supresores del apetito durante el embarazo.,Metabolismo,Agentes anoréxicos y reductores de peso,,sibutramina
citrato de sildenafil,B1,,Sistema cardiovascular,Vasodilatadores,,citrato de sildenafil
silodosina,B3,,Sistema genitourinario,Hiperplasia de próstata,,silodosina
siltuximab,do,"Medicamentos que, debido a sus efectos farmacológicos, han causado o se sospecha que causan efectos nocivos en el feto o neonato humano sin causar malformaciones. Estos efectos pueden ser reversibles. Para más información, consulte los textos adjuntos.",Agentes antineoplásicos,anticuerpos monoclonales,,siltuximab
simeprevir,B3,,Antimicrobianos,agentes antivirales,,simeprevir
simeprevir con ribavirina y peginterferón alfa,incógnita,"Aunque no existen datos pertinentes en humanos, se ha demostrado que la ribavirina es teratogénica y/o embrioletal en casi todas las especies en las que se ha probado. Se observaron malformaciones en el cráneo, paladar, ojos, mandíbula, esqueleto y tracto gastrointestinal en estudios con animales. La supervivencia de fetos y crías se redujo.",Antimicrobianos,agentes antivirales,,simeprevir con ribavirina y peginterferon alfa
simvastatina,D,"El colesterol y otros productos de la biosíntesis del colesterol son componentes esenciales para el desarrollo fetal, incluyendo la síntesis de esteroides y membranas celulares. Debido a la capacidad de los inhibidores de la HMG-CoA reductasa para disminuir la síntesis de colesterol y posiblemente otros productos de la biosíntesis del colesterol, estos fármacos pueden causar daño fetal si se administran a una mujer embarazada. La hiperlipidemia fisiológica del embarazo no requiere tratamiento.",Sistema cardiovascular,Agentes hipolipidémicos,,simvastatina
siponimod,D,"Basándose en datos obtenidos en animales y su mecanismo de acción, el siponimod puede causar daño fetal cuando se administra a una mujer embarazada.",Alergia y sistema inmunológico,Inmunomodificadores,,siponimod
sirolimús,do,,Alergia y sistema inmunológico,Inmunomodificadores,,sirolimus
sitagliptina,B3,,Sistema endocrino,agentes hipoglucemiantes,,sitagliptina
sitagliptina/metformina,do,Es importante lograr una normoglucemia estricta durante el embarazo.,Sistema endocrino,agentes hipoglucemiantes,,sitagliptina/metformina
sitaxentan,incógnita,"La teratogenicidad es un efecto de clase de estos agentes, que induce múltiples anomalías fetales en estudios con animales. Es probable que estos fármacos causen defectos congénitos importantes si se utilizan durante el embarazo.",Sistema cardiovascular,Antagonista del receptor de endotelina,,sitaxentan
vacuna contra la viruela (Vaccinia),D,Las vacunas con virus vaccinia vivos pueden causar daño fetal cuando se administran a una mujer embarazada,Vacunas,Vacunas vivas atenuadas,,vacuna contra la viruela (Vaccinia)
aurotiomalato de sodio,B2,,Sistema musculoesquelético,agentes antirreumatoides,,aurotiomalato de sodio
cromoglicato de sodio,A,,Sistema respiratorio,Agentes inhalatorios,Aerosoles e inhalaciones preventivas,cromoglicato de sodio
fusidato de sodio (ácido fusídico),do,"Este medicamento puede causar kernícterus en bebés durante el primer mes de vida al desplazar la bilirrubina de la albúmina plasmática. Se debe evitar el ácido fusídico, si es posible, durante el último mes de embarazo.",Antimicrobianos,Antibióticos,,fusidato de sodio (acido fusidico)
nitroprusiato de sodio,do,El uso a corto plazo para el control de crisis hipertensivas puede ser seguro siempre que se controlen el pH y las concentraciones de cianuro en la sangre materna.,Sistema cardiovascular,Antihipertensivos,,nitroprusiato de sodio
fenilbutirato de sodio,B3,,Metabolismo,Agentes utilizados para el tratamiento de trastornos metabólicos,,fenilbutirato de sodio
 fosfato de sodio [32P],incógnita,El uso de este medicamento está absolutamente contraindicado en mujeres embarazadas o en período de lactancia y en niños.,Agentes de diagnóstico,,, fosfato de sodio [32P]
salicilato de sodio,do,"Los antiinflamatorios no esteroideos (AINE) inhiben la síntesis de prostaglandinas, lo que puede afectar negativamente al embarazo. Consulte los textos pertinentes en la información del producto de cada AINE para obtener información sobre su idoneidad para su uso durante el embarazo. Estudios epidemiológicos sugieren un mayor riesgo de aborto espontáneo tras el uso de inhibidores de la síntesis de prostaglandinas al inicio del embarazo. Su administración durante la última etapa del embarazo puede causar el cierre del conducto arterioso fetal, oligohidramnios, insuficiencia renal fetal, inhibición de la agregación plaquetaria y retraso del parto. El tratamiento continuo con AINE durante el último trimestre del embarazo solo debe administrarse bajo indicación médica válida. Durante los últimos días previos al parto, deben evitarse los agentes con efecto inhibidor sobre la síntesis de prostaglandinas.",Sistema musculoesquelético,Medicamentos antiinflamatorios no esteroides (AINE),,salicilato de sodio
valproato de sodio (ácido valproico),D,"El valproato de sodio está contraindicado durante el embarazo. Una amplia gama de malformaciones congénitas puede ocurrir en bebés nacidos de mujeres que toman valproato de sodio durante el embarazo, y el riesgo de malformaciones aumenta con el aumento de la dosis de valproato. Si se toma en el primer trimestre del embarazo, el valproato de sodio (ácido valproico) se asocia con un riesgo del 1 al 2 por ciento de defectos del tubo neural (especialmente espina bífida) en el feto expuesto. El valproato de sodio no debe usarse durante el embarazo ni en mujeres en edad fértil, a menos que los tratamientos alternativos sean ineficaces o no se toleren debido al alto riesgo de malformación y al riesgo de trastornos del desarrollo en bebés expuestos al valproato antes del nacimiento. Evite el uso de valproato en mujeres en edad fértil para todas las indicaciones no convulsivas. Para indicaciones convulsivas, considere alternativas si existen. Siempre use la dosis efectiva más baja. Pacientes y médicos deben reconsiderar los beneficios y riesgos en las revisiones periódicas del tratamiento, en la pubertad y urgentemente cuando una mujer en edad fértil tratada con valproato planea un embarazo o queda embarazada. La suplementación con ácido fólico (5 mg) debe iniciarse cuatro semanas antes y continuarse durante doce semanas después de la concepción; se debe ofrecer un diagnóstico prenatal especializado, que incluya una ecografía detallada a mediados del trimestre.",Sistema nervioso central,Anticonvulsivos/antiepilépticos,,valproato de sodio (acido valproico)
ciclosilicato de sodio y circonio,B1,,Metabolismo,,,ciclosilicato de sodio y circonio
sofosbuvir,B1,,Antimicrobianos,agentes antivirales,,sofosbuvir
sofosbuvir/velpatasvir/voxilaprevir,B1,,Antimicrobianos,agentes antivirales,,sofosbuvir/velpatasvir/voxilaprevir
sofosbuvir/velpatasvir,B1,,Antimicrobianos,agentes antivirales,,sofosbuvir/velpatasvir
sofosbuvir/velpatasvir con ribavirina,incógnita,"Aunque no existen datos pertinentes en humanos, se ha demostrado que la ribavirina es teratogénica y/o embrioletal en casi todas las especies en las que se ha probado. Se observaron malformaciones en el cráneo, paladar, ojos, mandíbula, esqueleto y tracto gastrointestinal en estudios con animales. La supervivencia de fetos y crías se redujo.",Antimicrobianos,agentes antivirales,,sofosbuvir/velpatasvir con ribavirina
sofosbuvir con peginterferón alfa y ribavirina,incógnita,"Aunque no existen datos pertinentes en humanos, se ha demostrado que la ribavirina es teratogénica y/o embrioletal en casi todas las especies en las que se ha probado. Se observaron malformaciones en el cráneo, paladar, ojos, mandíbula, esqueleto y tracto gastrointestinal en estudios con animales. La supervivencia de fetos y crías se redujo.",Antimicrobianos,agentes antivirales,,sofosbuvir con peginterferon alfa y ribavirina
sofosbuvir con ribavirina,incógnita,"Aunque no existen datos pertinentes en humanos, se ha demostrado que la ribavirina es teratogénica y/o embrioletal en casi todas las especies en las que se ha probado. Se observaron malformaciones en el cráneo, paladar, ojos, mandíbula, esqueleto y tracto gastrointestinal en estudios con animales. La supervivencia de fetos y crías se redujo.",Antimicrobianos,agentes antivirales,,sofosbuvir con ribavirina
